Date,Price
25/8/2017,3.949
27/8/2017,3.949
28/8/2017,3.936
29/8/2017,3.92
30/8/2017,3.915
3/9/2017,3.915
5/9/2017,3.901
6/9/2017,3.877
7/9/2017,3.874
8/9/2017,3.841
10/9/2017,3.841
11/9/2017,3.84
12/9/2017,3.854
13/9/2017,3.86
14/9/2017,3.866
15/9/2017,3.867
17/9/2017,3.867
18/9/2017,3.867
19/9/2017,3.877
20/9/2017,3.892
21/9/2017,3.921
25/9/2017,3.902
26/9/2017,3.884
27/9/2017,3.888
28/9/2017,3.927
29/9/2017,3.937
1/10/2017,3.937
2/10/2017,3.948
3/10/2017,3.959
4/10/2017,3.936
5/10/2017,3.922
6/10/2017,3.918
8/10/2017,3.918
9/10/2017,3.919
10/10/2017,3.913
11/10/2017,3.91
12/10/2017,3.909
13/10/2017,3.904
15/10/2017,3.904
16/10/2017,3.906
17/10/2017,3.906
18/10/2017,3.906
19/10/2017,3.912
20/10/2017,3.913
22/10/2017,3.913
23/10/2017,3.945
24/10/2017,3.968
25/10/2017,4.005
26/10/2017,4.009
27/10/2017,4.049
29/10/2017,4.049
30/10/2017,4.042
31/10/2017,3.962
1/11/2017,3.941
2/11/2017,3.988
3/11/2017,3.995
5/11/2017,3.995
6/11/2017,3.994
7/11/2017,4.009
8/11/2017,4.009
9/11/2017,4.064
10/11/2017,4.093
12/11/2017,4.093
13/11/2017,4.128
14/11/2017,4.096
15/11/2017,4.04
16/11/2017,3.981
17/11/2017,3.991
19/11/2017,3.991
20/11/2017,3.997
21/11/2017,3.982
22/11/2017,3.954
23/11/2017,3.953
24/11/2017,3.955
26/11/2017,3.955
27/11/2017,3.96
28/11/2017,3.961
29/11/2017,3.959
30/11/2017,3.926
3/12/2017,3.926
4/12/2017,3.917
5/12/2017,3.893
6/12/2017,3.951
7/12/2017,3.966
8/12/2017,3.984
10/12/2017,3.991
11/12/2017,3.966
12/12/2017,3.976
13/12/2017,3.975
14/12/2017,3.976
15/12/2017,3.976
16/12/2017,3.976
17/12/2017,3.976
18/12/2017,3.977
19/12/2017,3.974
20/12/2017,3.968
21/12/2017,3.96
22/12/2017,3.96
25/12/2017,3.96
26/12/2017,3.959
27/12/2017,3.953
28/12/2017,3.945
29/12/2017,3.931
1/1/2018,3.931
2/1/2018,3.921
3/1/2018,3.923
4/1/2018,3.923
5/1/2018,3.887
7/1/2018,3.887
8/1/2018,3.87
9/1/2018,3.888
10/1/2018,3.901
11/1/2018,3.88
12/1/2018,3.857
14/1/2018,3.857
15/1/2018,3.849
16/1/2018,3.858
17/1/2018,3.871
18/1/2018,3.916
19/1/2018,3.931
21/1/2018,3.931
22/1/2018,3.949
23/1/2018,3.954
24/1/2018,3.945
25/1/2018,3.926
26/1/2018,3.928
28/1/2018,3.928
29/1/2018,3.927
30/1/2018,3.939
2/2/2018,3.926
4/2/2018,3.926
5/2/2018,3.942
6/2/2018,3.958
7/2/2018,3.959
8/2/2018,3.961
9/2/2018,3.958
11/2/2018,3.958
12/2/2018,3.972
13/2/2018,3.974
14/2/2018,3.993
15/2/2018,4.015
18/2/2018,4.015
19/2/2018,4.029
20/2/2018,4.033
21/2/2018,4.043
22/2/2018,4.059
23/2/2018,4.065
25/2/2018,4.065
26/2/2018,4.061
27/2/2018,4.049
28/2/2018,4.048
1/3/2018,4.025
2/3/2018,4.02
4/3/2018,4.02
5/3/2018,4.022
6/3/2018,4.021
7/3/2018,4.005
8/3/2018,3.995
9/3/2018,3.99
11/3/2018,3.986
12/3/2018,3.985
13/3/2018,3.981
14/3/2018,3.955
15/3/2018,3.936
16/3/2018,3.946
18/3/2018,3.946
19/3/2018,3.953
